X56,Intubation of trachea
X56.2,Endotracheal intubation
Y80.2,Inhalation anaesthetic using endotracheal intubation NEC
E85,Ventilation support
E85.1,Invasive ventilation
E85.2,Non-invasive ventilation NEC
E85.3,Improving effiency of ventilation
E85.4,Bag valve mask ventilation
X40.4,Haemofiltration
L91.1,Open insertion of central venous catheter
L91.2,Insertion of central venous catheter NEC
L92.3,Attention to central venous catheter NEC
L92.4,Removal of central venous catheter
L72.2,Monitoring of arterial pressure
E85.6,Continuous positive airway pressure
L95.2,Monitoring of venous pressure NEC
