code,term
K49,Transluminal balloon angioplasty of coronary artery NCCS 
K491,Percutaneous transluminal balloon angioplasty of one coronary artery
K492,Percutaneous transluminal balloon angioplasty of multiple coronary arteries
K493,Percutaneous transluminal balloon angioplasty of bypass graft of coronary artery
K494,Percutaneous transluminal cutting balloon angioplasty of coronary artery
K498,Other specified
K499,Unspecified
K50,Other therapeutic transluminal operations on coronary artery
K501,Percutaneous transluminal laser coronary angioplasty NCCS 
K502,Percutaneous transluminal coronary thrombolysis using streptokinase
K503,Percutaneous transluminal injection of therapeutic substance into coronary artery NEC
K504,Percutaneous transluminal atherectomy of coronary artery
K508,Other specified NCCS
K509,Unspecified
K51,Diagnostic transluminal operations on coronary artery
K511,Percutaneous transluminal angioscopy
K512,Intravascular ultrasound of coronary artery
K518,Other specified NCCS 
K519,Unspecified
K634,Coronary arteriography using two catheters NCCS 
K635,Coronary arteriography using single catheter NCCS 
K636,Coronary arteriography NEC NCCS 
K75,Percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery NCCS 
K751,Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery NCCS 
K752,Percutaneous transluminal balloon angioplasty and insertion of 3 or more drug-eluting stents into coronary artery NCCS 
K753,Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery
K754,Percutaneous transluminal balloon angioplasty and insertion of 3 or more stents into coronary artery NEC
K758,Other specified
K759,Unspecified
